Date,Match,Team,Player,Position,PropType,Projected,SampleSize,RecentValues,Line,OverOdds,UnderOdds,ActualValue,HitOrMiss
2026-09-13T20:25Z,Arizona Cardinals @ Los Angeles Chargers,Los Angeles Chargers,Justin Herbert,QB,Passing Yards,252.4,5,166.0; 203.0; 300.0; 242.0; 318.0,,,,,
2026-09-13T20:25Z,Arizona Cardinals @ Los Angeles Chargers,Los Angeles Chargers,Charlie Kolar,TE,Receptions,1.6,5,1.0; 0.0; 2.0; 0.0; 0.0,,,,,
2026-09-13T20:25Z,Arizona Cardinals @ Los Angeles Chargers,Los Angeles Chargers,Omarion Hampton,RB,Rushing Yards,58.3,5,44.0; 128.0; 70.0; 24.0; 48.0,,,,,
2026-09-13T20:25Z,Washington Commanders @ Philadelphia Eagles,Washington Commanders,Terry McLaurin,WR,Receptions,3.8,5,7.0; 3.0; 3.0; 5.0; 2.0,,,,,
2026-09-13T20:25Z,Washington Commanders @ Philadelphia Eagles,Washington Commanders,Jayden Daniels,QB,Passing Yards,221.2,5,156.0; 211.0; 231.0; 200.0; 233.0,,,,,
2026-09-13T20:25Z,Washington Commanders @ Philadelphia Eagles,Washington Commanders,Chig Okonkwo,TE,Receptions,3.5,5,4.0; 1.0; 5.0; 4.0; 3.0,,,,,
2026-09-13T20:25Z,Washington Commanders @ Philadelphia Eagles,Washington Commanders,Jacory Croskey-Merritt,RB,Rushing Yards,56.2,5,111.0; 47.0; 26.0; 17.0; 82.0,,,,,
2026-09-13T20:25Z,Washington Commanders @ Philadelphia Eagles,Philadelphia Eagles,DeVonta Smith,WR,Receptions,4.4,5,8.0; 2.0; 8.0; 4.0; 3.0,,,,,
2026-09-13T20:25Z,Washington Commanders @ Philadelphia Eagles,Philadelphia Eagles,Jalen Hurts,QB,Passing Yards,190.9,5,280.0; 130.0; 226.0; 101.0; 152.0,,,,,
2026-09-13T20:25Z,Washington Commanders @ Philadelphia Eagles,Philadelphia Eagles,Dallas Goedert,TE,Receptions,4.2,5,9.0; 3.0; 4.0; 1.0; 7.0,,,,,
2026-09-13T20:25Z,Washington Commanders @ Philadelphia Eagles,Philadelphia Eagles,Saquon Barkley,RB,Rushing Yards,59.0,5,30.0; 43.0; 46.0; 88.0; 60.0,,,,,
2026-09-13T20:25Z,Miami Dolphins @ Las Vegas Raiders,Miami Dolphins,Malik Washington,WR,Receptions,2.9,5,4.0; 2.0; 3.0; 1.0; 2.0,,,,,
2026-09-13T20:25Z,Miami Dolphins @ Las Vegas Raiders,Miami Dolphins,Malik Willis,QB,Passing Yards,144.2,4,288.0; 121.0; 7.0; 6.0,,,,,
2026-09-13T20:25Z,Miami Dolphins @ Las Vegas Raiders,Miami Dolphins,Greg Dulcich,TE,Receptions,2.5,5,2.0; 2.0; 1.0; 5.0; 0.0,,,,,
2026-09-13T20:25Z,Miami Dolphins @ Las Vegas Raiders,Miami Dolphins,De'Von Achane,RB,Rushing Yards,55.2,5,16.0; 99.0; 62.0; 30.0; 55.0,,,,,
2026-09-13T20:25Z,Miami Dolphins @ Las Vegas Raiders,Las Vegas Raiders,Tre Tucker,WR,Receptions,3.7,5,4.0; 2.0; 8.0; 3.0; 2.0,,,,,
